Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Панчук,Григорій,Сергійович,Чоловік,18.12.1943,Мінералог,село Полонне,"проспект Мусіна, буд. 53 кв. 882, Берестечко, 14853",098 229-55-57,symonlupii@example.com
Гаєвський,Миколай,Євгенович,Чоловік,14.06.1942,Ботанік,селище Харків,"парк Дунаєвського 2-й, буд. 5 кв. 0, Алмазна, 97473",034 317 07 14,alinachervonenko@example.net
Дубина,Богданна,Тимофіївна,Жінка,10.05.1970,Композитор,хутір Борщів,"шосе Цегляна, буд. 74, Боково-Хрустальне, 72177",040 625 80 35,redkomilena@example.com
Шовкопляс,Єлисавета,Зорянівна,Жінка,07.07.1944,Антрополог,хутір Куп'янськ,"проспект Князівський, буд. 239 кв. 38, Кам'янка (Черкаська область), 04950",+380 74 166-09-40,romanetsiakiv@example.org
Бабко,Любов,Богуславівна,Жінка,10.01.2006,Будник,місто Золочів,"узвіз Тираспольська, буд. 8 кв. 84, Ірпінь, 29822",051 298 68 36,vlasiukvitalii@example.net
Перебийніс,Клавдія,Дмитроівна,Жінка,27.03.1997,Журналіст,місто Рава-Руська,"парк Курортний 6-й, буд. 16 кв. 234, Кремінна, 73837",+380 95 781-24-93,artemlytvynenko@example.net
Байрак,Володимира,Артемівна,Жінка,24.04.1948,Математик,місто Павлоград,"шосе Садова 6-та, буд. 1 кв. 935, Богуслав, 94354",154 86 13,liliiagalagan@example.net
Притула,Нестор,Валерійович,Чоловік,18.10.1957,Бібліотекар,місто Новояворівськ,"парк Сталепрокатна, буд. 6, Тисмениця, 73820",+380 80 385-81-70,oksanavasylenko@example.com
Бабʼюк,Орина,Арсенівна,Жінка,18.12.1970,Бібліотекар,село Болград,"вулиця Слави, буд. 300, Свалява, 18320",+380 88 425-28-01,nadiiacherednyk@example.com
Фесенко,Христина,Мартинівна,Жінка,25.05.1945,Реабілітолог,село Горішні Плавні,"вулиця Авдєєва-Чорноморського, буд. 8, Вознесенськ, 10183",+380 24 045 48 61,heorhiibezditko@example.org
Килимник,Михайлина,Алевтинівна,Жінка,01.08.1973,Промисловець,хутір Кам'янка-Дніпровська,"набережна Степана Олійника узвіз, буд. 336, Хорол , 29797",353 81 49,korpaniukklavdiia@example.net
Скоробогатько,Олена,Богуславівна,Жінка,18.03.1984,Доцент,село Попасна,"парк Привокзальний, буд. 9, Долинська, 78779",059 950-31-94,leon30@example.net
Щириця,Азар,Левкович,Чоловік,11.08.1966,Електрослюсар,село Судак ,"вулиця Подільська, буд. 46, Ромни, 98416",068-50-57,hrechanykfrants@example.org
Гавришкевич,Віолетта,Авреліївна,Жінка,12.09.1960,Фермер,хутір Кам'янське,"вулиця Ясна, буд. 699 кв. 145, Докучаєвськ, 72332",+380 69 349-15-61,rdankiv@example.org
Дацюк,Леон,Спасович,Чоловік,27.08.2006,Електрик,селище Бровари,"проспект Оранжерейний, буд. 2 кв. 5, Конотоп, 75080",+380 44 764 53 75,bashpolchenkorozaliia@example.net
Швайка,Володимир,Францович,Чоловік,23.06.1982,Круп'є,місто Хрестівка,"площа Академіка Вавилова, буд. 4, Лубни, 06026",370 82 65,pmedvedenko@example.com
Колісниченко,Вікторія,Олесьівна,Жінка,23.11.1990,Візажист,хутір Петрово-Красносілля,"сквер Дерибасівська, буд. 2, Кипуче, 42580",751-76-70,orlykmariana@example.net
Артимишин,Віра,Августинівна,Жінка,11.05.1995,Реставратор,село Мерефа,"сквер 12-та Лінія 6-й ст. Люстдорфської дороги, буд. 5, Комарно, 05224",081 036 90 51,karasvitalii@example.org
Перепелиця,Еріка,Панасівна,Жінка,15.08.1995,Модель,місто Роздільна,"шосе Трудовий, буд. 35 кв. 088, Дружківка, 24156",470-73-07,riabchenkosvitlana@example.com
Гук,Марія,Трохимівна,Жінка,03.05.2006,Пекар,село Рудки,"площа Весняна, буд. 95, Старокостянтинів, 49553",+380 90 108 53 52,zaporozhetsviktoriia@example.com
Цюцюра,Орхип,Станіславович,Чоловік,31.08.1939,Мистецтвознавець,село Новоград-Волинський,"сквер Миколи Боровського, буд. 5, Дубровиця, 09996",+380 84 454 93 13,iaroslav73@example.net
Романенко,Владислав,Глібович,Чоловік,02.02.1963,Шериф,селище Погребище,"узвіз Лінія 53-тя, буд. 64, Інкерман, 15227",088 560-71-28,symon66@example.org
Ґерус,Гаврило,Несторович,Чоловік,11.04.1939,Графік,місто Ходорів,"проспект Дніпропетровська дорога, буд. 819 кв. 87, Кролевець, 91145",064 376 49 82,khudobiakstanislav@example.net
Запорожець,Клавдія,Онисимівна,Жінка,03.07.1980,Штукатур,селище Снігурівка,"сквер Лодочний, буд. 499 кв. 46, Південне , 73349",990-17-86,bdanko@example.org
Башполченко,Софія,Хомївна,Жінка,19.09.1999,Вчитель,місто Новоселиця,"шосе Соляний 5-й, буд. 1, Сорокине, 94295",081 815 07 68,adrobiazko@example.org
Рева,Тереза,Єлисеївна,Жінка,12.03.1942,Парфюмер,місто Андрушівка,"провулок 7-ма Лінія 6-й ст. Люстдорфської дороги, буд. 197, Тернівка , 27341",+380 10 362-86-08,violettababych@example.org
Батюк,Венедикт,Юхимович,Чоловік,27.06.1966,Клоун,місто Берестечко,"шосе Зарічна, буд. 3 кв. 186, Нетішин, 03908",+380 65 800 75 98,vshutko@example.net
Чабан,Пріска,Авреліївна,Жінка,07.05.2004,Літературознавець,хутір Ізмаїл,"провулок Глазунова, буд. 19 кв. 661, Хуст, 44468",084 516 10 47,viktorandriiovych@example.com
Литвин,Єва,Юстимівна,Жінка,06.05.1969,Бібліотекар,місто Соснівка ,"шосе Шишкіна 3-й, буд. 99, Канів, 40212",016 534-48-27,nazarkybkalo@example.net
Балабан,Вадим,Геннадійович,Чоловік,29.09.1974,Провізор,хутір Вилкове,"парк Псковська, буд. 37, Харків, 46486",225-16-15,tsamoilenko@example.org
Цибуленко,Ганна,Володимирівна,Жінка,04.06.1983,Ботанік,хутір Світлодарськ,"парк Василя Кандинського 4-й, буд. 191 кв. 20, Тараща, 31041",+380 09 109 84 95,shynkarenkosviatoslava@example.org
Арсенич,Амвросій,Тимофійович,Чоловік,05.05.1998,Льотчик,село Сарни,"проспект Деревообробний 4-й, буд. 8 кв. 82, Алупка, 50500",118-55-23,hryhorii99@example.net
Гупало,Аркадій,Станіславович,Чоловік,25.01.1957,Паблік рилейшнз,місто Житомир,"проспект Ольгіївська, буд. 0, Сокаль, 63412",849 81 23,artemasaula@example.org
Михайлюк,Геннадій,Андрійович,Чоловік,11.05.1997,Льотчик,хутір Кам'янка-Бузька,"проспект Штурвальна, буд. 576, Сніжне, 25988",606-15-92,priska00@example.org
Редько,Назар,Арсенович,Чоловік,16.12.1979,Публіцист,село Ладижин,"провулок Пішонівська, буд. 58, Помічна, 42936",009 018-89-03,avhustynlukash@example.com
Ващенко,Лесь,Трохимович,Чоловік,03.10.2004,Музичний редактор,хутір Южноукраїнськ,"провулок Вапняний 3-й, буд. 54, Андрушівка, 56131",038 543-87-83,wdemianenko@example.net
Романчук,Богодар,Панасович,Чоловік,24.04.1939,Водій,хутір Вишгород,"площа Краснова, буд. 650, Новий Буг, 85660",089 387 45 29,emasokha@example.net
Цимбал,Костянтин,Микитаович,Чоловік,26.08.1944,Реставратор,селище Гола Пристань,"парк Деревообробна, буд. 33, Єнакієве, 82528",+380 03 849-14-00,yhavrysh@example.org
Адамчук,Аліна,Семенівна,Жінка,01.11.1962,Юрист,місто Лутугине,"узвіз Ремонтна, буд. 580 кв. 34, Білогірськ, 37903",149-11-08,zynoviizarudnyi@example.com
Франчук,Аврелій,Маркович,Чоловік,15.05.1974,Ювелір,село Тлумач,"набережна Ольгіївська, буд. 49, Рудки, 08805",333 81 84,vilienko@example.org
Даниленко,Климент,Борисович,Чоловік,15.10.1957,Машиніст,село Кремінна,"сквер Манежна, буд. 7, Хорол , 84222",+380 (14) 150-49-86,danyloshvachko@example.net
Нестайко,Єва,Іллївна,Жінка,05.12.1965,Клавішник,селище Дрогобич,"набережна Державіна, буд. 21, Біла Церква, 82738",074 662-86-64,stefan36@example.org
Єрошенко,Зорян,Георгійович,Чоловік,25.09.1996,Продюсер,село Бережани,"узвіз Бучми, буд. 84, Сколе, 46764",616 43 96,rubanzynovii@example.net
Дараган,Оксана,Веніяминівна,Жінка,16.03.1954,Перекладач,місто Першотравенськ,"провулок Східний 2-й, буд. 010, Ірпінь, 99278",039 290 08 96,ikopytko@example.net
Семенченко,Дан,Олесьович,Чоловік,14.01.1976,Піаніст,місто Люботин,"площа Травневий 1-й, буд. 09 кв. 8, Гуляйполе, 69298",+380 36 692 70 77,ulesyk@example.org
Сірченко,Ада,Несторівна,Жінка,19.07.1988,Кінорежисер,село Берислав,"проспект Елеваторна, буд. 05 кв. 1, Могилів-Подільський, 66466",+380 37 742-09-30,tsalii@example.org
Ткаченко,Дарина,Феофанівна,Жінка,06.11.1950,Епідеміолог,місто Комарно,"провулок Кипарисний 1-й, буд. 266, Збараж, 48031",+380 35 132-51-22,kartiushenko@example.com
Джунь,Віктор,Дмитрович,Чоловік,08.12.1958,Агроном,місто Кобеляки,"узвіз Академіка Гаркавого, буд. 3, Сторожинець, 09246",+380 (14) 636-05-81,opiddubnyi@example.net
Швачка,Назар,Тимофійович,Чоловік,23.03.1968,Клавішник,хутір Вознесенівка,"шосе Шишкіна, буд. 549, Хмельницький, 40356",+380 46 121-76-55,haidavasyl@example.com
Чуйко,Антон,Маркович,Чоловік,17.04.1969,Музикознавець,село Хоростків,"парк Вєтрогонова, буд. 093 кв. 694, Довжанськ, 80937",+380 28 925 90 31,symonenkodemian@example.com
Усик,Хома,Спасович,Чоловік,16.01.2003,Філолог,село Богодухів,"проспект Іванова, буд. 414, Чернігів, 42985",152 27 94,veresaaron@example.net
Гаврилишин,Варвара,Павлоівна,Жінка,11.05.1971,Штукатур,село Зборів,"набережна Успенський, буд. 4, Перевальськ, 92496",+380 (00) 264-11-13,vasylyna56@example.net
Засядько,Тарас,Парменович,Чоловік,21.08.1939,Продюсер,хутір Лохвиця,"вулиця Картамишевський, буд. 60, Білгород-Дністровський, 51769",+380 (80) 059-14-51,borys65@example.org
Семенченко,Алла,Стефанівна,Жінка,16.01.1999,Епідеміолог,місто Новий Буг,"сквер Локомотивний 2-й, буд. 28, Славута, 65356",+380 12 355 63 04,kostiantyntsiutsiura@example.net
Яремків,Олександр,Стефанович,Чоловік,20.08.1992,Кушнір,селище Ізяслав,"парк Єврейська, буд. 1 кв. 03, Буськ, 95831",+380 (05) 233-22-87,haivoronskyiheorhii@example.net
Дзиндра,Лілія,Данилоівна,Жінка,20.05.1968,Водій,місто Ірпінь,"площа Аеропортівський 2-й, буд. 1 кв. 87, Українка , 02024",001 745-18-42,eduard29@example.com
Скиба,Зорян,Богодарович,Чоловік,05.10.1958,Ботанік,місто Попасна,"провулок Гагаріна, буд. 18 кв. 3, Єнакієве, 53863",+380 (44) 671-50-37,valentyn70@example.com
Вакуленко,Веніямин,Захарович,Чоловік,16.11.1984,Каскадер,селище Ківерці,"узвіз Слави, буд. 287, Ківерці, 90959",174 47 66,uhavryliv@example.org
Гайда,Зорян,Богодарович,Чоловік,05.10.1946,Провізор,селище Погребище,"узвіз Мазараті, буд. 5, Обухів, 44235",+380 26 319-07-94,khudobiakklyment@example.com
Рябець,Оксенія,Варфоломіївна,Жінка,14.08.1957,Лікар,місто Сімферополь,"площа Прохоровська, буд. 29 кв. 68, Верхньодніпровськ, 65131",037-40-24,babychenkoieva@example.org
Баранець,Симон,Олесьович,Чоловік,24.03.1960,Конструктор,село Болград,"проспект Кустанайський 2-й, буд. 35 кв. 3, Іллінці, 60157",609-24-38,myron54@example.com
Лагода,Орина,Іванівна,Жінка,17.10.1968,Педагог,селище Хуст,"парк Космонавта Комарова, буд. 263, Гайсин, 95687",+380 (95) 219-94-34,demydenkodan@example.net
Сімашкевич,Оксенія,Вʼячеславівна,Жінка,08.09.1955,Стоматолог,село Біла Церква,"проспект Пересипська 1-ша, буд. 18 кв. 3, Баранівка, 80127",358-82-42,revatymofii@example.com
Сімашкевич,Галина,Мирославівна,Жінка,15.02.1944,Секретар,селище Козятин,"шосе Педагогічний, буд. 890 кв. 44, Снігурівка, 45197",+380 (71) 461-05-72,klyment89@example.net
Корбут,Ярослава,Францівна,Жінка,19.05.1983,Конструктор,хутір Харків,"площа Морехідний, буд. 2 кв. 257, Верхівцеве, 98697",+380 90 638-46-62,sahalhryhorii@example.org
Яценюк,Ілля,Азарович,Чоловік,04.03.1978,Мірошник,хутір Любомль,"шосе Селекційний, буд. 546, Сімферополь, 58636",+380 43 161-44-30,oleksa89@example.net
Стельмах,Богуслава,Феофанівна,Жінка,02.02.1971,Візажист,хутір Ялта,"узвіз Рівний, буд. 074 кв. 246, Білозерське, 74750",056 832 67 86,frantsazhazha@example.org
Бабак,Алла,Леонтіївна,Жінка,24.06.2008,Науковець,місто Канів,"узвіз Інглезі, буд. 292 кв. 77, Первомайськ, 43264",027 324-25-66,iukhymchubai@example.net
Пʼятаченко,Світлана,Ігнатівна,Жінка,08.12.1973,Вчитель,село Соледар,"сквер 6-та Лінія Марії Демченко, буд. 489, Ніжин, 06873",+380 86 440 84 30,ssirchenko@example.org
Мазур,Марʼяна,Остапівна,Жінка,08.12.1984,Випробувач,хутір Мостиська,"сквер Наявний 5-й, буд. 672 кв. 474, Белз, 52794",+380 19 626-72-80,iefremmasliak@example.net
Юрчук,Богуслав,Олексаович,Чоловік,10.01.1997,Правник,селище Ямпіль,"площа Чапаєва, буд. 423 кв. 773, Рогатин, 48175",087 667 26 16,wandrusenko@example.com
Атаманчук,Мілена,Венедиктівна,Жінка,26.08.1953,Випробувач,село Калинівка ,"узвіз Пілотна, буд. 3, Одеса, 46336",+380 86 570 85 21,nadiia59@example.net
Зайченко,Софія,Пантелеймонівна,Жінка,24.07.1950,Реставратор,селище Київ,"провулок Корнюшина, буд. 9 кв. 0, Белз, 65367",+380 54 422-89-55,lgoliash@example.com
Чумаченко,Максим,Охрімович,Чоловік,27.09.1951,Журналіст,місто Болград,"сквер Братська, буд. 4 кв. 721, Погребище, 08927",142 25 00,orkhypparasiuk@example.net
Бандера,Марко,Зорянович,Чоловік,19.02.1995,Агроном,село Ромни,"шосе Новоукраїнський, буд. 3, Донецьк, 03002",573-89-79,vadymhaidenko@example.org
Іваничук,Святослава,Авреліївна,Жінка,15.05.1975,Парфюмер,село Почаїв,"набережна Кругова, буд. 041 кв. 3, Борщів, 32479",062 171 55 84,iaremchukdanna@example.com
Адамчук,Святослава,Іванівна,Жінка,07.08.1950,Євнух,місто Баранівка,"проспект Балтський 4-й, буд. 0, Миколаївка , 59118",217 58 36,korbutpetro@example.net
Ляшко,Аркадій,Степанович,Чоловік,31.05.1961,Хімік,село Довжанськ,"парк Наклонна, буд. 937 кв. 980, Зимогір'я, 58344",013 386-38-00,nieromenko@example.net
Єсипенко,Пріска,Веніяминівна,Жінка,31.05.1995,Співак,село Заліщики,"парк Каманіна, буд. 1, Синельникове, 96159",835-21-30,petro84@example.com
Чорновіл,Борислав,Вадимович,Чоловік,11.08.2004,Кінокритик,хутір Березівка,"вулиця Морська, буд. 77 кв. 55, Кипуче, 46017",+380 53 913-86-36,akulenkoteodor@example.org
Шевченко,Леон,Володимирович,Чоловік,14.09.1942,Бізнесмен,селище Світловодськ,"провулок Зелена балка, буд. 5 кв. 30, Генічеськ, 31576",021-70-92,avrelii10@example.com
Пилипенко,Тетяна,Едуардівна,Жінка,15.12.1950,Актор,місто Тернівка ,"проспект Амундсена, 2-й, буд. 00 кв. 33, Зміїв, 90440",086 794-60-22,dturkalo@example.net
Фесенко,Емілія,Августинівна,Жінка,11.09.1952,Живописець,селище Костянтинівка,"парк Парковий, буд. 56 кв. 9, Мукачево, 60614",388-60-89,semen42@example.org
Бандурка,Панас,Миронович,Чоловік,05.06.1984,Редактор,село Іршава,"проспект Андреєвського, буд. 11, Скалат, 78123",328-68-26,irvanetsiaryna@example.com
Петренко,Кирило,Богданович,Чоловік,09.07.1963,Гінеколог,село Люботин,"провулок Обривиста, буд. 384 кв. 8, Ялта, 06850",043 866 04 97,vasylynabazylevskyi@example.net
Ґжицький,Любов,Прохірівна,Жінка,06.09.1957,Кінолог,село Корсунь-Шевченківський,"шосе Балківська, буд. 366 кв. 584, Голубівка, 60349",+380 (64) 369-86-48,chumachenkookseniia@example.org
Дергач,Наталія,Спасівна,Жінка,05.07.1998,Електрик,село Дрогобич,"узвіз Деволанівська, буд. 066 кв. 6, Краматорськ, 35450",066 059 52 21,ysymonenko@example.org
Артим,Ірина,Бориславівна,Жінка,13.08.1958,Складальник,селище Тетіїв,"парк Дунаєвського 3-й, буд. 81, Баштанка, 98253",766 51 23,vdovychenkosymon@example.org
Архимович,Сніжана,Зиновіївна,Жінка,07.10.1949,Доцент,село Полонне,"набережна Східний, буд. 480, Остер , 95876",061 559-39-05,liudmyla04@example.com
Андрейко,Єлисей,Соломонович,Чоловік,25.10.1999,Кінорежисер,село Авдіївка,"парк Коблевська, буд. 8, Мостиська, 29743",+380 24 874-71-02,chutsuliak@example.com
Франко,Леон,Демʼянович,Чоловік,08.11.1953,Біолог,хутір Білопілля,"проспект Пересипська 3-тя, буд. 25 кв. 5, Новий Калинів, 30176",044 32 32,dmytrobashtan@example.org
Деряжний,Богуслава,Георгіївна,Жінка,18.03.1970,Педагог,селище Красногорівка,"провулок Будівельна, буд. 31 кв. 9, Пустомити, 50543",054 999 99 03,rozaliia69@example.net
Фурс,Віолетта,Богданівна,Жінка,10.05.1957,Фізик,село Чернівці,"сквер Мічуріна, буд. 324 кв. 46, Географія Вільнянська, 36292",+380 67 787 84 54,nestorbazylevych@example.net
Єрошенко,Ярина,Трохимівна,Жінка,21.08.1985,М'ясник,хутір Городня,"вулиця Композитора Глинки, буд. 18, Ірпінь, 27172",048 760-96-08,rpanchuk@example.org
Ребрик,Ганна,Гордіївна,Жінка,23.07.1997,Стропальник,селище Вінниця,"парк Архітектурна, буд. 4 кв. 9, Ворожба, 23007",+380 11 422-20-60,malyshkonataliia@example.com
Дубина,Наталія,Дмитроівна,Жінка,21.03.2006,Актор,село Васильків,"сквер Листяний, буд. 325 кв. 9, Благовіщенське, 40943",474-92-93,dandashenko@example.com
Тимчук,Ілля,Феофанович,Чоловік,12.07.1956,Випробувач,село Тетіїв,"провулок Лютневий 2-й, буд. 0 кв. 6, Першотравенськ, 86448",837-02-43,ivanlaba@example.com
Гречко,Ярина,Спасівна,Жінка,29.10.1957,Паблік рилейшнз,селище Судова Вишня,"шосе Мала, буд. 93, Зміїв, 27896",075 394 36 45,tkachliudmyla@example.com
Бакуменко,Адам,Богодарович,Чоловік,16.08.1970,Бібліограф,село Червоносів,"площа Дерибасівська, буд. 417, Знам'янка, 04148",+380 13 153 94 08,lduplii@example.net
Скиба,Галина,Бориславівна,Жінка,17.02.1946,Соціолог,селище Севастополь,"парк Маріїнська, буд. 5 кв. 44, Коростишів, 01398",+380 (37) 873-75-34,zaikahanna@example.com
Тесля,Валерій,Орхипович,Чоловік,20.03.1975,Філолог,місто Новоград-Волинський,"парк Аеропортівський 1-й, буд. 1, Золотоноша, 56114",+380 91 849 19 39,liliia13@example.net
Андрієвич,Оксенія,Артемівна,Жінка,26.02.1988,Епідеміолог,селище Ічня,"вулиця Магнітогорський 2-й, буд. 077, Золотоноша, 92589",195 07 19,taras89@example.com
Забіла,Ілля,Віталійович,Чоловік,27.02.1950,Громадський діяч,село Белз,"парк Горіхова, буд. 48 кв. 7, Зіньків, 83668",679-62-46,hryhoriivatamaniuk@example.org
Авдєєнко,Орися,Костянтинівна,Жінка,16.08.1948,Візажист,селище Новоазовськ,"вулиця Черепанових 2-й, буд. 8 кв. 716, Сквира, 27755",+380 (19) 447-54-58,adotsenko@example.org
Забіла,Ліза,Єфремівна,Жінка,26.10.2002,Ґрунтознавець,місто Новоазовськ,"провулок Митна, буд. 33, Дунаївці, 28764",687 74 13,bairaklevko@example.com
Їжакевич,Юстина,Устимівна,Жінка,18.05.1980,Кінокритик,місто Тлумач,"проспект Олександра Невського 5-й, буд. 86, Луцьк, 81025",+380 03 441 67 02,upanchuk@example.net
Козаченко,Оксенія,Панасівна,Жінка,30.06.1992,Ґрунтознавець,хутір Андрушівка,"парк Чернігівський, буд. 57 кв. 36, Новомосковськ, 74703",+380 84 451 23 92,iaremadutka@example.net
Пушкар,Світлана,Артемівна,Жінка,04.04.2003,Палеонтолог,селище Заводське,"площа Нескучна, буд. 232, Ковель, 18981",044-80-10,okhrimievdokymenko@example.org
Охримович,Богодар,Хомаович,Чоловік,26.08.1943,Правник,село Часів Яр,"вулиця Молодогвардійська, буд. 03, Суми, 79191",+380 (06) 365-41-10,artemdrozdenko@example.com
Матвієнко,Омелян,Ааронович,Чоловік,02.12.1995,Дизайнер,хутір Дубровиця,"сквер Елеваторна, буд. 312 кв. 6, Тетіїв, 51257",011 315 53 26,alevtyn06@example.net
Арсенич,Алевтин,Миколайович,Чоловік,07.08.2008,Шериф,хутір Нова Каховка,"набережна Заводська 3-тя, буд. 32, Кілія, 17053",651-12-74,schuiko@example.net
Іващенко,Марія,Георгіївна,Жінка,02.01.2003,Археолог,місто Олександрівськ,"узвіз Коцебу міст, буд. 5 кв. 50, Павлоград, 87754",066 422-49-79,erika05@example.org
Гаврилів,Валентина,Геннадіївна,Жінка,14.11.1995,Стоматолог,місто Косів,"узвіз Ланжеронівська, буд. 8, Довжанськ, 07458",+380 25 331 46 77,okovaliuk@example.org
Андрейко,Мілена,Леопольдівна,Жінка,20.02.1996,Архітектор,селище Путивль,"сквер Садова 2-га, буд. 01, Сарни, 14169",641 14 56,iaroslavdatsenko@example.org
Дергач,Ілля,Соломонович,Чоловік,17.06.1942,Державний службовець,хутір Новогродівка,"узвіз Єврейська, буд. 50, Любомль, 47825",+380 90 914-75-67,havryliviarema@example.net
Захарченко,Стефан,Віталійович,Чоловік,10.02.1997,Локсмайстер,місто Покровськ,"шосе Сільськогосподарський, буд. 819 кв. 4, Винники, 67478",+380 (03) 874-36-55,violetta14@example.com
Кармалюк,Леопольд,Геннадійович,Чоловік,22.11.1952,Маркетолог,хутір Лутугине,"вулиця Прохоровський, буд. 5, Корюківка, 92606",+380 52 994-67-38,vasyl90@example.org
